"ManufacturerId","Name","NameAbbr","Address1","Address2","City","State","Zip","Country","Phone","Fax","TollFree","WebAddress","ContactName","ContactPhone","ContactEmail","CreatedUserId","CreatedDate","ModifiedUserId","ModifiedDate","DeletedFlag","DirectoryFlag","AssociateFlag","CertificateFlag","CertifiedFlag","ProductType","UUID"
114,"BCI Burke Co., LLC",,"660 Van Dyne Road",,"Fond Du Lac","WI","54936          ","United States","(920) 921-9220","(920) 921-9566",,"http://www.bciburke.com","Scott Liebelt ","               ","sliebelt@bciburke.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 10:25:19 AM",0,1,0,1,1,"Either",
116,"Paris Equipment Mfg Ltd (formerly Belair)",,"259 Third Concession Road","Box 490","Princeton, ON","  ","N0J 1V0","Canada","800-387-6318","(519) 442-0111",,"http://www.peml.com","Dave Hammer","519-458-4882","dhammer@peml.com",2,"06/02/2004 08:35:29 AM",0,"05/17/2012 11:08:58 AM",0,0,0,0,0,"Equipment",
117,"Berliner Seilfabrik GMBH & Co.",,"Lengeder Strasse 4",,"Berlin","  ","13407          ","Germany","+493041472455","+493041472433",,"http://www.berliner-seilfabrik.com","David Kohler","+493041472455","david.koehler@berliner-seilfabrik.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 10:25:51 AM",0,1,0,1,1,"Equipment",
118,"Blue Imp Recreational Products",,"724 14th Street SW",,"Medicine Hat, AB","  ","T1A 4V7        ","Canada","(800) 661-1462","(403) 529-0851",,"http://www.blueimp.com","Mark Koch","(403) 526-4170 ","mark@blueimp.com",2,"06/02/2004 08:35:29 AM",0,"10/19/2011 03:43:57 PM",0,1,0,1,1,"Equipment",
124,"Columbia Carolina Div.",,"PO Box 1148","369 Columbia Carolina Road","Old Fort","NC","28762          ","United States","(828) 724-4191","(828) 724-3205",,"http://www.columbiaforestproducts.com","Rick Marsh","(828) 775-4520","rmarsh@columbiaforestproducts.com",2,"06/02/2004 08:35:29 AM",0,"08/16/2011 08:01:26 AM",0,1,0,1,1,"Surfacing",
125,"Corocord Raumnetz GmbH",,"Eichborndamm 167",,"Berlin","  ","13403          ","Germany","+49-30-408988-0","+49-30-408988-77",,"http://www.corocord.com","Torsten Frank","+49-30-408988-0","safety@corocord.de. ",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 10:29:15 AM",0,1,0,1,1,"Equipment",
128,"ECORE International",,"715 Fountain Avenue",,"Lancaster","PA","17608          ","United States","(717) 824-8237","(717) 295-3414",,"http://www.ecoreintl.com ","Wanda Welch","(717) 824-8237","wanda.welch@ecoreintl.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 10:33:49 AM",0,1,0,1,1,"Surfacing",
130,"Environmental Molding Concepts",,"14050 Day Street",,"Moreno Valley","CA","92553","United States","(909) 383-7049","(909) 383-7055",,"http://www.emcmolding.com","Sako Beudjekian, CEO","951-214-6590 Ex","sbeudjekian@basrecycling.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 10:34:22 AM",0,1,0,1,1,"Surfacing",
132,"Equipements Recreatifs Jambette Inc.",,"700 Des Calfats",,"Levis, Quebec","  ","G6Y 9E6","Canada","(418) 837-8246","(418) 837-2916",,"http://www.jambette.com","Dania Laflamme","(418) 837-8246 ","dania.laflamme@jambette.com",2,"06/02/2004 08:35:29 AM",0,"04/20/2011 09:39:37 AM",0,1,0,1,1,"Equipment",
133,"Fibar Group, LLC",,"80 Business Park Drive, Suite 300",,"Armonk","NY","10504-1705     ","United States","(800) 342-2721 / (914) 273-8770 ","(914) 273-8659","800-342-2721","http://www.fibar.com","Henry Mustacato","(914) 273-8770","henry@fibar.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 10:37:29 AM",0,1,0,1,1,"Surfacing",
135,"Garick Corporation",,"13600 Broadway Avenue",,"Cleveland","OH","44125          ","United States","(800) 242-7425 x311","(216) 475-1636",,"http://www.garick.com","Timothy Belby","(216) 475-8812 ","timothy.belby@garick.com",2,"06/02/2004 08:35:29 AM",0,"04/07/2011 07:58:07 AM",0,1,0,1,0,"Surfacing",
139,"Henderson Recreation Equipment Ltd.",,"11 Gilbertson Drive","PO Box 68","Simcoe","  ","N3Y 4K8        ","Canada","(800) 265-5462 ","(519) 426-1132",,"http://www.henderson-recreation.com","Andrew Henderson","(519) 426-9380 ","andrew@hendersonplay.ca",2,"06/02/2004 08:35:29 AM",0,"06/07/2011 11:42:39 AM",0,1,0,1,1,"Equipment",
141,"Jensen Swing Products, Inc.",,"9327 Wheatlands Road",,"Santee","CA","92071          ","United States","(619) 258-8300","(619) 258-7429",,"http://www.jensenswing.com"," Charvet Ciraolo","(619) 258-8300","charvet@jensenswing.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 10:54:24 AM",0,1,0,0,0,"Equipment",
144,"Playground and Shade Structures, Inc.",,"505 Tradesmens Park Drive",,"Hutto","TX","78634","United States","(800) 245-8449","(512) 642-4275","(800) 245-8449","http://www.kidstruction.com","William Wolfe","(512) 442-3502 ","bill@kidstruction.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 11:37:02 AM",0,1,0,0,0,"Equipment",
145,"KOMPAN A/S",,"C.F. Tietgens Boulevard 32C",,"Odense SØ","  ","DK 5220        ","Denmark","(800) 426-9788",,,"http://www.kompan.com","Joan Pederson","+45 21 37 43 80","joaped@kompan.com",2,"06/02/2004 08:35:29 AM",0,"08/18/2011 08:12:16 AM",0,1,0,1,1,"Equipment",
147,"Playcraft Systems",,"123 North Valley Drive",,"Grants Pass","OR","97526          ","United States","(800) 333-8519","(541) 955-6130",,"http://www.playcraftsystems.com","Mei-Mei Kong","(541) 955-9199 ","mei-mei@krausscraftinc.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 11:26:06 AM",0,1,0,1,1,"Equipment",
148,"Kuhns Bros. Lumber Co., Inc.",,"434 Swartz Road",,"Lewisburg","PA","17837          ","United States","(570) 568-1412","(570) 568-1187",,"http://www.kuhnslumber.com/","Timothy Kuhns","               ","timkuhns@kuhnslumber.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 11:26:46 AM",0,1,0,1,1,"Surfacing",
150,"Landscape Structures Inc.",,"601 7th Street South",,"Delano","MN","55328          ","United States","(888) 4FUNLSI","(763) 972-3185",,"http://www.playlsi.com","Steven King","               ","info@playlsi.com",2,"06/02/2004 08:35:29 AM",0,"11/22/2010 11:27:07 AM",0,1,0,1,1,"Equipment",
