"ProductLineId","ProductLineName","ProductLineDescription","ManufacturerId","DeletedFlag","UpdatedRecordFlag"
301,"Agito Components",,108,0,0
302,"Solo",,108,0,0
304,"UniMini Components",,108,0,0
305,"UniPlay Components",,108,0,0
316,"Burke Basics","Burke Basics",114,0,0
318,"Series 3000","Series 3000",114,0,0
322,"Little buddies","Little buddies",114,0,0
324,"Belair playstructure components","Belair playstructure components",116,0,0
325,"Ground level activities","Ground level activities",116,0,0
326,"BigToys","BigToys",213,0,0
328,"EarlyWorks","EarlyWorks",213,0,0
331,"Playsense component","Playsense component",150,0,0
332,"Playsense structure","Playsense structure",150,0,0
333,"Conventional","Conventional",118,0,0
334,"Universal","Universal",118,0,0
335,"Vip","Vip",118,0,0
337,"Spacenet","Spacenet",125,0,0
338,"Grimpeurs / Climbers",,132,0,0
339,"Équipements sportifs / Sports Equipment ",,132,0,0
340,"Équipements préscolaires / Preschool Play ",,132,0,0
341,,,132,0,0
342,"Glissoires / Slides ",,132,0,0
343," Équipements sur ressorts / Spring Rock Equipment ",,132,0,0
344," Balançoires / Swings",,132,0,0
345,"Bascules / Teeter Totter  ",,132,0,0
346,"Zilectra","Zilectra",132,0,0
347,"Powerscape","Powerscape",214,0,0
350,"Gt event","Gt event",214,0,0
351,"Kidtime","Kidtime",214,0,0
352,"Kt components","Kt components",214,0,0
358,"Primetime","Primetime",214,0,0
359,"Independent","Independent",147,0,0
360,"R5 Playcraft","R5 Playcraft",147,0,0
363,"Swings","Swings",147,0,0
374,"Idea structures","Idea structures",150,0,0
376,"PlayShaper","PlayShaper",150,0,0
385,"PlayBooster","PlayBooster",150,0,0
389,"Fitness","Fitness",151,0,0
390,"Independent Play","Independent Play",151,0,0
391,"Kid Builder","Kid Builder",151,0,0
393,"Maxplay","Maxplay",151,0,0
394,"Play Builder","Play Builder",151,0,0
395,"Early Childhood","Early Childhood",151,0,0
400,"Tots' Choice","Tots' Choice",154,0,0
401,"Kids' Choice",,154,0,0
403,"Misc","Misc",154,0,0
405,"Toddlers Choice","Toddlers Choice",154,0,0
407,"Caravan",,164,0,0
409,"Duramax","Duramax",164,0,0
412,,,164,0,0
413,"Parkplay","Parkplay",164,0,0
416,"Spring bouncers","Spring bouncers",164,0,0
417,"Supermax","Supermax",164,0,0
426,"Adventure","Adventure",615,0,0
428,"Expedition","Expedition",615,0,0
431,"Independent Events","Independent Events",615,0,0
432,"Structures","Structures",615,0,0
434,"Swings","Swings",615,0,0
445,"Custom line","Custom line",173,0,0
450,"Play Equipment","Play Equipment",176,0,0
480,"Ecoplay","Ecoplay",180,0,0
481,"Fun center","Fun center",210,0,0
482,"Modular","Modular",210,0,0
483,"Swings","Swings",210,0,0
488,"Playsteel Squared",,139,0,0
489,"Castle","Castle",145,0,0
492,"Elements comb. - modules",,145,0,0
493,"Elements comb. - structures","Elements comb. - structures",145,0,0
494,"Elements solitaire","Elements solitaire",145,0,0
496,"Galaxy modules","Galaxy modules",145,0,0
497,"Galaxy solitaire","Galaxy solitaire",145,0,0
498,"Galaxy structures","Galaxy structures",145,0,0
499,"Moments - make and create","Moments - make and create",145,0,0
500,"Moments - play frames","Moments - play frames",145,0,0
502,"Moments - role play","Moments - role play",145,0,0
504,"Moments - toddlers","Moments - toddlers",145,0,0
505,"Moments comb. - modules","Moments comb. - modules",145,0,0
506,"Moments comb. - structures","Moments comb. - structures",145,0,0
510,"Seesaws","Seesaws",145,0,0
518,"Springriders","Springriders",145,0,0
519,"Swings & Slides",,145,0,0
520,"Tables and benches","Tables and benches",145,0,0
522,"1",,615,0,0
523,"2",,615,0,0
524,"3",,615,0,0
535,"Bounce back","Bounce Back",175,0,0
536,"Columbia carolina","Columbia carolina",124,0,0
539,"Surfacing and Surfacing Systems","Cushion play",206,0,0
540,"Woodcarpet Mat - Foam",,196,0,0
541,"Duromat","Duromat",387,0,0
543,"Engineered wood fiber","Engineered wood fiber",135,0,0
