Manufacturer,"Model Number",Name,"Product Line",Created,Certification,Tested,RV,Expires,Reason
"ABC-TEAM Spielplatzgeräte GmbH",903900051,Panel_Mirror,"Long Life",2017-07-12,"ASTM F1487-17",2019-01-15,80649,2023-12-31,"Expires 4 years after test"
"ABC-TEAM Spielplatzgeräte GmbH",903900061,Panel-Paint-Board,"Long Life",2017-07-12,"ASTM F1487-17",2019-01-15,80649,2023-12-31,"Expires 4 years after test"
"ABC-TEAM Spielplatzgeräte GmbH",903900141,Panel-Supermarket,"Long Life",2017-07-12,"ASTM F1487-17",2019-01-15,80649,2023-12-31,"Expires 4 years after test"
"ABC-TEAM Spielplatzgeräte GmbH",903900151,Panel-Postoffice,"Long Life",2017-07-12,"ASTM F1487-17",2019-01-15,80649,2023-12-31,"Expires 4 years after test"
"ABC-TEAM Spielplatzgeräte GmbH",903900071,Panel-Sign-Language,"Long Life",2017-07-12,"ASTM F1487-17",2019-01-15,80649,2023-12-31,"Expires 4 years after test"
"ABC-TEAM Spielplatzgeräte GmbH",903700040,HPL-Panel-Standard,"Long Life",2017-07-12,"ASTM F1487-17",2019-01-15,80649,2023-12-31,"Expires 4 years after test"
"ABC-TEAM Spielplatzgeräte GmbH",903900131,Panel-Half-Bowl,"Long Life",2017-07-12,"ASTM F1487-17",2019-01-15,80649,2023-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-2644,"Barrier for Telescope @ 45º","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-05-30,33303,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZP-2624,"Barrier with steering wheel","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-05-30,33303,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZP-2643,"Barrier with Telescope","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-05-30,33303,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZP-2601,Barrier,"Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-05-30,33303,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",K-05,"The Go-Kart","Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-03,Airplane,"Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-13,Chick,"Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-28,Giraffe,"Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-22,Piglet,"Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-27,Whale,"Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-35,"The Beetle","Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-01,Motorbike,"Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-19,Cloud,"Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",K-31,"Patrol Bike","Jeux sur ressorts / Bouncers",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-07,29196,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-2708,"Barrier for stainless slide","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-03-17,26515,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-2701,"Barrier for 4' 5' & 6' wave slide","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-03-17,26515,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-2705,"Barrier for 3' Double Slide","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-03-17,26516,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-2707,"Barrier for 5' Double Slide","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-03-17,26516,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-2706,"Barrier for 4' Double Slide","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-03-17,26516,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-8-SD,"8' Right snake sectional slide","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-7-SD,"7' Right snake sectional slide","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-8-SG,"8' Left snake sectional slide","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-7-SG,"7' Left snake sectional slide","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-8-AG,"8' Sectional slide 45° Left","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-7-AG,"7' Sectional slide 45° Left","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-6-AG,"6' Sectional slide 45° Left","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-8-CG,"8' Sectional slide 90° Left","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-7-CG,"7' Sectional slide 90° Left","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-8-CD,"8' Sectional slide 90° Right","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
